lottery,draw_number,draw_date_time,my_field1,my_field2,win_field1,win_field2,win_amount
Премьер,011446,14 октября 2025 07:39 МСК,"Номер билета:,1041 3111 0000 2129 3575,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011446,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,07:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2129 3575,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011446,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,07:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2129 3575,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011446,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,07:39 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 2129 3575,Цена билета:,70 ₽,Дата покупки билета:,14 октября 2025,Название лотереи:,Премьер,Тираж №:,011446,Дата тиража:,14 октября 2025,Место тиража:,г. Москва,Время тиража:,07:39 МСК,Купить ∙ 70 ₽,,,",150 ₽
Премьер,007339,20 мая 2025 18:54 МСК,"Номер билета:,1041 3111 0000 0907 3082,Цена билета:,200 ₽,Дата покупки билета:,20 мая 2025,Название лотереи:,Премьер,Тираж №:,007339,Дата тиража:,20 мая 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0907 3082,Цена билета:,200 ₽,Дата покупки билета:,20 мая 2025,Название лотереи:,Премьер,Тираж №:,007339,Дата тиража:,20 мая 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0907 3082,Цена билета:,200 ₽,Дата покупки билета:,20 мая 2025,Название лотереи:,Премьер,Тираж №:,007339,Дата тиража:,20 мая 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,","Номер билета:,1041 3111 0000 0907 3082,Цена билета:,200 ₽,Дата покупки билета:,20 мая 2025,Название лотереи:,Премьер,Тираж №:,007339,Дата тиража:,20 мая 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК,Купить ∙ 70 ₽,,,",421 ₽
Форсаж 75,021800,25 января 2024 14:45 МСК,,,,,20 ₽
Премьер,000784,14 августа 2024 14:54 МСК,"Номер билета:,1041 3111 0000 0084 3328,Цена билета:,200 ₽,Дата покупки билета:,14 августа 2024,Название лотереи:,Премьер,Тираж №:,000784,Дата тиража:,14 августа 2024,Место тиража:,г. Москва,Время тиража:,14:54 МСК","Номер билета:,1041 3111 0000 0084 3328,Цена билета:,200 ₽,Дата покупки билета:,14 августа 2024,Название лотереи:,Премьер,Тираж №:,000784,Дата тиража:,14 августа 2024,Место тиража:,г. Москва,Время тиража:,14:54 МСК","Номер билета:,1041 3111 0000 0084 3328,Цена билета:,200 ₽,Дата покупки билета:,14 августа 2024,Название лотереи:,Премьер,Тираж №:,000784,Дата тиража:,14 августа 2024,Место тиража:,г. Москва,Время тиража:,14:54 МСК","Номер билета:,1041 3111 0000 0084 3328,Цена билета:,200 ₽,Дата покупки билета:,14 августа 2024,Название лотереи:,Премьер,Тираж №:,000784,Дата тиража:,14 августа 2024,Место тиража:,г. Москва,Время тиража:,14:54 МСК",300 ₽
Премьер,007353,21 мая 2025 07:54 МСК,"Номер билета:,1041 3111 0000 0911 8300,Цена билета:,200 ₽,Дата покупки билета:,21 мая 2025,Название лотереи:,Премьер,Тираж №:,007353,Дата тиража:,21 мая 2025,Место тиража:,г. Москва,Время тиража:,07:54 МСК","Номер билета:,1041 3111 0000 0911 8300,Цена билета:,200 ₽,Дата покупки билета:,21 мая 2025,Название лотереи:,Премьер,Тираж №:,007353,Дата тиража:,21 мая 2025,Место тиража:,г. Москва,Время тиража:,07:54 МСК","Номер билета:,1041 3111 0000 0911 8300,Цена билета:,200 ₽,Дата покупки билета:,21 мая 2025,Название лотереи:,Премьер,Тираж №:,007353,Дата тиража:,21 мая 2025,Место тиража:,г. Москва,Время тиража:,07:54 МСК","Номер билета:,1041 3111 0000 0911 8300,Цена билета:,200 ₽,Дата покупки билета:,21 мая 2025,Название лотереи:,Премьер,Тираж №:,007353,Дата тиража:,21 мая 2025,Место тиража:,г. Москва,Время тиража:,07:54 МСК",455 ₽
Трижды три,010223,19 декабря 2022 02:00 МСК,,,,,55 ₽
Премьер,008497,1 июля 2025 18:54 МСК,"Номер билета:,1041 3111 0000 1153 9967,Цена билета:,80 ₽,Дата покупки билета:,1 июля 2025,Название лотереи:,Премьер,Тираж №:,008497,Дата тиража:,1 июля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК","Номер билета:,1041 3111 0000 1153 9967,Цена билета:,80 ₽,Дата покупки билета:,1 июля 2025,Название лотереи:,Премьер,Тираж №:,008497,Дата тиража:,1 июля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК","Номер билета:,1041 3111 0000 1153 9967,Цена билета:,80 ₽,Дата покупки билета:,1 июля 2025,Название лотереи:,Премьер,Тираж №:,008497,Дата тиража:,1 июля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК","Номер билета:,1041 3111 0000 1153 9967,Цена билета:,80 ₽,Дата покупки билета:,1 июля 2025,Название лотереи:,Премьер,Тираж №:,008497,Дата тиража:,1 июля 2025,Место тиража:,г. Москва,Время тиража:,18:54 МСК",320 ₽
Премьер,000879,18 августа 2024 16:54 МСК,"Номер билета:,1041 3111 0000 0094 5175,Цена билета:,200 ₽,Дата покупки билета:,18 августа 2024,Название лотереи:,Премьер,Тираж №:,000879,Дата тиража:,18 августа 2024,Место тиража:,г. Москва,Время тиража:,16:54 МСК","Номер билета:,1041 3111 0000 0094 5175,Цена билета:,200 ₽,Дата покупки билета:,18 августа 2024,Название лотереи:,Премьер,Тираж №:,000879,Дата тиража:,18 августа 2024,Место тиража:,г. Москва,Время тиража:,16:54 МСК","Номер билета:,1041 3111 0000 0094 5175,Цена билета:,200 ₽,Дата покупки билета:,18 августа 2024,Название лотереи:,Премьер,Тираж №:,000879,Дата тиража:,18 августа 2024,Место тиража:,г. Москва,Время тиража:,16:54 МСК","Номер билета:,1041 3111 0000 0094 5175,Цена билета:,200 ₽,Дата покупки билета:,18 августа 2024,Название лотереи:,Премьер,Тираж №:,000879,Дата тиража:,18 августа 2024,Место тиража:,г. Москва,Время тиража:,16:54 МСК",300 ₽
Премьер,000733,12 августа 2024 09:54 МСК,"Номер билета:,1041 3111 0000 0078 8071,Цена билета:,200 ₽,Дата покупки билета:,12 августа 2024,Название лотереи:,Премьер,Тираж №:,000733,Дата тиража:,12 августа 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК","Номер билета:,1041 3111 0000 0078 8071,Цена билета:,200 ₽,Дата покупки билета:,12 августа 2024,Название лотереи:,Премьер,Тираж №:,000733,Дата тиража:,12 августа 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК","Номер билета:,1041 3111 0000 0078 8071,Цена билета:,200 ₽,Дата покупки билета:,12 августа 2024,Название лотереи:,Премьер,Тираж №:,000733,Дата тиража:,12 августа 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК","Номер билета:,1041 3111 0000 0078 8071,Цена билета:,200 ₽,Дата покупки билета:,12 августа 2024,Название лотереи:,Премьер,Тираж №:,000733,Дата тиража:,12 августа 2024,Место тиража:,г. Москва,Время тиража:,09:54 МСК",300 ₽
Премьер,000569,5 августа 2024 08:54 МСК,"Номер билета:,1041 3111 0000 0062 6039,Цена билета:,200 ₽,Дата покупки билета:,5 августа 2024,Название лотереи:,Премьер,Тираж №:,000569,Дата тиража:,5 августа 2024,Место тиража:,г. Москва,Время тиража:,08:54 МСК","Номер билета:,1041 3111 0000 0062 6039,Цена билета:,200 ₽,Дата покупки билета:,5 августа 2024,Название лотереи:,Премьер,Тираж №:,000569,Дата тиража:,5 августа 2024,Место тиража:,г. Москва,Время тиража:,08:54 МСК","Номер билета:,1041 3111 0000 0062 6039,Цена билета:,200 ₽,Дата покупки билета:,5 августа 2024,Название лотереи:,Премьер,Тираж №:,000569,Дата тиража:,5 августа 2024,Место тиража:,г. Москва,Время тиража:,08:54 МСК","Номер билета:,1041 3111 0000 0062 6039,Цена билета:,200 ₽,Дата покупки билета:,5 августа 2024,Название лотереи:,Премьер,Тираж №:,000569,Дата тиража:,5 августа 2024,Место тиража:,г. Москва,Время тиража:,08:54 МСК",300 ₽
